device,useragent
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_7_9) Gecko/20100101 Firefox/63.7
android,"Mozilla/5.0 (Linux; U; Android 5.0; LG-D724 Build/LRX22G) AppleWebKit/535.12 (KHTML, like Gecko)  Chrome/53.0.2348.198 Mobile Safari/600.4"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.1; Win64; x64; en-US Trident/7.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_9_9; like Mac OS X) AppleWebKit/600.4 (KHTML, like Gecko)  Chrome/52.0.1857.198 Mobile Safari/536.5"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; Win64; x64; en-US) AppleWebKit/534.26 (KHTML, like Gecko) Chrome/47.0.3683.379 Safari/537.3 Edge/16.14941"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.4; x64 Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; x64 Trident/5.0)
linux,"Mozilla/5.0 (Linux i656 x86_64) AppleWebKit/533.39 (KHTML, like Gecko) Chrome/52.0.3289.300 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_9; like Mac OS X) AppleWebKit/602.15 (KHTML, like Gecko)  Chrome/52.0.2787.201 Mobile Safari/601.3"
edge,"Mozilla/5.0 (Windows NT 10.2; Win64; x64; en-US) AppleWebKit/601.36 (KHTML, like Gecko) Chrome/50.0.1571.111 Safari/600.2 Edge/11.91453"
edge,"Mozilla/5.0 (Windows NT 10.0; x64) AppleWebKit/535.13 (KHTML, like Gecko) Chrome/54.0.1173.129 Safari/533.8 Edge/17.91476"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.1; Win64; x64; en-US) AppleWebKit/537.50 (KHTML, like Gecko) Chrome/54.0.1633.366 Safari/537"
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/49.0.3590.385 Safari/603"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_4) AppleWebKit/536.29 (KHTML, like Gecko) Chrome/53.0.1915.182 Safari/600"
linux,"Mozilla/5.0 (Linux i651 x86_64) AppleWebKit/600.44 (KHTML, like Gecko) Chrome/54.0.3456.114 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1_5; like Mac OS X) AppleWebKit/601.38 (KHTML, like Gecko)  Chrome/48.0.3174.316 Mobile Safari/533.1"
linux,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/53.4
mobile,"Mozilla/5.0 (Linux; Android 4.4; MOTOROLA RAZR Build/KVT49L) AppleWebKit/603.47 (KHTML, like Gecko)  Chrome/47.0.1094.175 Mobile Safari/535.8"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_4_2) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/54.0.2411.284 Safari/602"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/536.27 (KHTML, like Gecko) Chrome/51.0.2146.236 Safari/602.9 Edge/8.34492"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.2; x64; en-US) AppleWebKit/534.32 (KHTML, like Gecko) Chrome/55.0.2783.131 Safari/600"
chrome,"Mozilla/5.0 (Linux i581 ; en-US) AppleWebKit/536.46 (KHTML, like Gecko) Chrome/51.0.1612.346 Safari/537"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_1; en-US) AppleWebKit/533.14 (KHTML, like Gecko) Chrome/48.0.3855.333 Safari/601"
windows,"Mozilla/5.0 (Windows NT 6.3; x64; en-US) AppleWebKit/601.33 (KHTML, like Gecko) Chrome/47.0.3489.138 Safari/601"
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; Nexus 9 Build/NPD90G) AppleWebKit/537.25 (KHTML, like Gecko)  Chrome/47.0.2185.167 Mobile Safari/603.2"
android,"Mozilla/5.0 (Linux; U; Android 6.0; HTC One M8 Build/MRA58K) AppleWebKit/535.22 (KHTML, like Gecko)  Chrome/53.0.2789.372 Mobile Safari/537.2"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;) AppleWebKit/533.34 (KHTML, like Gecko) Chrome/53.0.2384.265 Safari/602.7 Edge/18.33559"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_3; like Mac OS X) AppleWebKit/536.38 (KHTML, like Gecko)  Chrome/48.0.3164.278 Mobile Safari/536.0"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; WOW64 Trident/6.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/52.0.3925.250 Safari/536"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_4; en-US) Gecko/20130401 Firefox/55.0
android,"Mozilla/5.0 (Linux; U; Android 7.0; GT-I9800 Build/KTU84P) AppleWebKit/603.16 (KHTML, like Gecko)  Chrome/51.0.1203.322 Mobile Safari/601.0"
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/601.33 (KHTML, like Gecko) Chrome/52.0.2884.100 Safari/537"
android,"Mozilla/5.0 (Android; Android 7.1.1; Nexus 5P Build/NME91E) AppleWebKit/534.45 (KHTML, like Gecko)  Chrome/49.0.3588.263 Mobile Safari/533.5"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_1) Gecko/20100101 Firefox/57.8
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.3; x64) AppleWebKit/603.29 (KHTML, like Gecko) Chrome/47.0.3130.319 Safari/601"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9; en-US) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/54.0.2100.273 Safari/534"
android,"Mozilla/5.0 (Linux; Android 4.4.4; LG-D300 Build/KOT49H) AppleWebKit/534.28 (KHTML, like Gecko)  Chrome/49.0.2668.320 Mobile Safari/535.0"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_4) Gecko/20130401 Firefox/68.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_6; like Mac OS X) AppleWebKit/533.6 (KHTML, like Gecko)  Chrome/49.0.3754.304 Mobile Safari/601.4"
mobile,"Mozilla/5.0 (Android; Android 7.0; LG-H930 Build/NRD90C) AppleWebKit/601.2 (KHTML, like Gecko)  Chrome/52.0.2007.209 Mobile Safari/602.8"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3;; en-US Trident/5.0)
